ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
209875_s_at	2.42E-05	9.10E-08	6.133039	7.74236	3.351666	SPP1	secreted phosphoprotein 1
204073_s_at	2.42E-05	9.12E-08	6.132525	7.74053	2.6909536	MYRF	myelin regulatory factor
210470_x_at	2.51E-05	9.57E-08	6.11957	7.69432	1.6797606	NONO	"non-POU domain containing, octamer-binding"
208095_s_at	3.19E-05	1.24E-07	6.050372	7.44778	2.5804319	SRP72	signal recognition particle 72
204894_s_at	3.19E-05	1.25E-07	-6.049584	7.44498	-2.539781	AOC3	"amine oxidase, copper containing 3"
215499_at	3.21E-05	1.27E-07	-6.045015	7.42871	-1.3449612	LOC100996792///MAP2K3	dual specificity mitogen-activated protein kinase kinase 3///mitogen-activated protein kinase kinase 3
201506_at	3.37E-05	1.35E-07	6.027723	7.36719	1.8662607	TGFBI	transforming growth factor beta induced
207008_at	3.37E-05	1.36E-07	-6.026254	7.36197	-3.2398485	CXCR2	C-X-C motif chemokine receptor 2
209825_s_at	3.39E-05	1.39E-07	6.021224	7.34408	2.1349114	MIR3658///UCK2	microRNA 3658///uridine-cytidine kinase 2
214091_s_at	3.50E-05	1.45E-07	-6.00863	7.2993	-2.0562107	GPX3	glutathione peroxidase 3
202235_at	3.50E-05	1.46E-07	6.007048	7.29368	2.0103916	SLC16A1	solute carrier family 16 member 1
218282_at	3.57E-05	1.51E-07	5.998962	7.26493	1.5856861	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2
214096_s_at	3.71E-05	1.60E-07	5.98325	7.20911	1.8330581	SHMT2	serine hydroxymethyltransferase 2
202917_s_at	3.71E-05	1.60E-07	-5.982986	7.20817	-3.128326	S100A8	S100 calcium binding protein A8
209686_at	3.82E-05	1.66E-07	-5.972674	7.17155	-2.2269017	S100B	S100 calcium binding protein B
202920_at	3.87E-05	1.71E-07	-5.964551	7.14271	-1.8691605	ANK2	"ankyrin 2, neuronal"
211948_x_at	3.87E-05	1.72E-07	5.963901	7.1404	1.80992	PRRC2C	proline rich coiled-coil 2C
210732_s_at	4.04E-05	1.81E-07	5.949695	7.08998	2.878173	LGALS8	galectin 8
207717_s_at	4.26E-05	1.93E-07	5.932898	7.03039	2.3061279	PKP2	plakophilin 2
221246_x_at	4.43E-05	2.04E-07	-5.918067	6.97781	-1.61865	TNS1	tensin 1
217208_s_at	4.43E-05	2.05E-07	5.917025	6.97411	1.9475552	DLG1	discs large MAGUK scaffold protein 1
218930_s_at	4.54E-05	2.12E-07	5.907799	6.94142	1.5940218	TMEM106B	transmembrane protein 106B
217736_s_at	4.55E-05	2.15E-07	5.904549	6.9299	1.1049641	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1
205116_at	4.63E-05	2.20E-07	-5.897309	6.90425	-1.5205732	LAMA2	laminin subunit alpha 2
209074_s_at	5.27E-05	2.53E-07	-5.860558	6.77416	-2.4590287	FAM107A	family with sequence similarity 107 member A
203006_at	5.28E-05	2.56E-07	-5.857551	6.76352	-0.9569464	INPP5A	inositol polyphosphate-5-phosphatase A
219476_at	5.28E-05	2.60E-07	-5.853295	6.74846	-2.1190604	C1orf116	chromosome 1 open reading frame 116
215182_x_at	5.28E-05	2.61E-07	-5.852494	6.74563	-1.8138752		
218656_s_at	5.37E-05	2.68E-07	-5.845446	6.72071	-1.6778483	LHFP	lipoma HMGIC fusion partner
201661_s_at	5.37E-05	2.70E-07	5.84294	6.71185	2.0745767	ACSL3	acyl-CoA synthetase long-chain family member 3
212320_at	5.47E-05	2.77E-07	5.835883	6.6869	1.3208351	TUBB	tubulin beta class I
208993_s_at	5.71E-05	2.92E-07	5.821802	6.63714	2.1174236	PPIG	peptidylprolyl isomerase G
205446_s_at	5.97E-05	3.08E-07	5.807626	6.58708	1.8291277	ATF2	activating transcription factor 2
201450_s_at	6.31E-05	3.29E-07	5.790245	6.52573	1.5522469	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
202104_s_at	6.36E-05	3.34E-07	5.786049	6.51092	2.1411258	LOC101930112///SPG7	"uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit"
203757_s_at	7.15E-05	3.79E-07	-5.75234	6.39208	-2.507053	CEACAM6	carcinoembryonic antigen related cell adhesion molecule 6
203986_at	7.19E-05	3.84E-07	-5.74857	6.37879	-2.4129004	FAM47E-STBD1///FAM47E///STBD1	FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1
219295_s_at	7.35E-05	3.96E-07	-5.740466	6.35025	-1.9164923	PCOLCE2	procollagen C-endopeptidase enhancer 2
219002_at	7.47E-05	4.08E-07	5.73243	6.32195	1.8045161	FASTKD1	FAST kinase domains 1
218625_at	7.47E-05	4.09E-07	-5.731724	6.31947	-1.3114035	NRN1	neuritin 1
203789_s_at	7.53E-05	4.17E-07	5.726562	6.30129	2.4943963	SEMA3C	semaphorin 3C
213102_at	7.53E-05	4.19E-07	5.725172	6.2964	1.0928628	ACTR3	ARP3 actin related protein 3 homolog
209057_x_at	7.63E-05	4.28E-07	-5.719433	6.27621	-1.45719	CDC5L	cell division cycle 5 like
203980_at	7.63E-05	4.36E-07	-5.714188	6.25776	-4.1508723	FABP4	fatty acid binding protein 4
219093_at	7.63E-05	4.40E-07	-5.712023	6.25014	-1.9951123	PID1	phosphotyrosine interaction domain containing 1
206651_s_at	7.63E-05	4.43E-07	-5.710124	6.24346	-2.2698692	CPB2	carboxypeptidase B2
201596_x_at	7.63E-05	4.45E-07	5.708737	6.23858	2.4320383	KRT18	keratin 18
207547_s_at	7.63E-05	4.45E-07	-5.708667	6.23833	-1.7814668	FAM107A	family with sequence similarity 107 member A
218424_s_at	8.07E-05	4.75E-07	5.691575	6.17824	1.171543	STEAP3	STEAP3 metalloreductase
220072_at	8.14E-05	4.82E-07	5.687255	6.16306	2.1507914	CSPP1	centrosome and spindle pole associated protein 1
214339_s_at	8.26E-05	4.93E-07	-5.681379	6.14241	-1.0205355	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
208992_s_at	8.50E-05	5.13E-07	5.670335	6.10362	1.6560669	STAT3	signal transducer and activator of transcription 3
220418_at	8.50E-05	5.15E-07	-5.669669	6.10128	-1.8482605	UBASH3A	ubiquitin associated and SH3 domain containing A
211969_at	8.73E-05	5.33E-07	5.660463	6.06896	2.0218785	HSP90AA1	heat shock protein 90 alpha family class A member 1
212874_at	8.79E-05	5.41E-07	-5.656491	6.05502	-1.5529462		
201659_s_at	8.85E-05	5.54E-07	5.649976	6.03216	0.9448434	ARL1	ADP ribosylation factor like GTPase 1
212055_at	8.85E-05	5.56E-07	5.649044	6.02889	1.7372885	TPGS2	tubulin polyglutamylase complex subunit 2
209646_x_at	8.85E-05	5.56E-07	-5.648671	6.02758	-1.467164	ALDH1B1	aldehyde dehydrogenase 1 family member B1
208731_at	8.85E-05	5.60E-07	5.646857	6.02121	1.4554692	RAB2A	"RAB2A, member RAS oncogene family"
212886_at	9.07E-05	5.78E-07	-5.638404	5.99157	-2.7326101	CCDC69	coiled-coil domain containing 69
37892_at	9.21E-05	5.98E-07	5.629446	5.96016	3.6869323	COL11A1	collagen type XI alpha 1 chain
43511_s_at	9.21E-05	5.98E-07	-5.629345	5.9598	-1.055052	ARRB1	arrestin beta 1
201650_at	9.21E-05	5.99E-07	5.628595	5.95718	4.1237601	KRT19	keratin 19
219795_at	9.93E-05	6.51E-07	-5.606448	5.87958	-1.8589359	SLC6A14	solute carrier family 6 member 14
220800_s_at	1.04E-04	6.89E-07	5.590855	5.825	2.5696569	TMOD3	tropomodulin 3
205250_s_at	1.08E-04	7.20E-07	5.579169	5.78412	1.4970059	CEP290	centrosomal protein 290
206170_at	1.09E-04	7.34E-07	-5.573912	5.76573	-1.3633579	ADRB2	adrenoceptor beta 2
217931_at	1.09E-04	7.35E-07	5.573541	5.76444	1.8426054	CNPY3	canopy FGF signaling regulator 3
218059_at	1.09E-04	7.39E-07	5.572189	5.75971	0.7980077	ZNF706	zinc finger protein 706
213071_at	1.11E-04	7.59E-07	-5.564786	5.73383	-3.1279305	DPT	dermatopontin
212514_x_at	1.11E-04	7.64E-07	5.56313	5.72804	1.7232223	DDX3X	"DEAD-box helicase 3, X-linked"
214055_x_at	1.13E-04	7.81E-07	5.556995	5.7066	1.3539446	PRRC2C	proline rich coiled-coil 2C
214436_at	1.19E-04	8.26E-07	5.541779	5.65346	1.644923	FBXL2	F-box and leucine rich repeat protein 2
212510_at	1.21E-04	8.49E-07	-5.534521	5.62812	-1.592077	GPD1L	glycerol-3-phosphate dehydrogenase 1-like
201811_x_at	1.31E-04	9.20E-07	-5.512666	5.55188	-1.2955371	SH3BP5	SH3 domain binding protein 5
218133_s_at	1.31E-04	9.31E-07	5.50934	5.54029	1.9889447	NIF3L1	NGG1 interacting factor 3 like 1
201019_s_at	1.31E-04	9.37E-07	5.507676	5.53449	1.0488411	EIF1AX	"eukaryotic translation initiation factor 1A, X-linked"
217894_at	1.33E-04	9.66E-07	5.499521	5.50607	1.6971173	KCTD3	potassium channel tetramerization domain containing 3
210084_x_at	1.33E-04	9.67E-07	-5.499074	5.50451	-1.8928573	TPSAB1	tryptase alpha/beta 1
211653_x_at	1.33E-04	9.68E-07	-5.498825	5.50365	-2.208229	LOC101930400///AKR1C2	"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2"
208936_x_at	1.34E-04	9.82E-07	5.494909	5.49	1.6133054	LGALS8	galectin 8
221647_s_at	1.48E-04	1.09E-06	5.467259	5.39376	1.2487253	MIR6743///RIC8A	microRNA 6743///RIC8 guanine nucleotide exchange factor A
203913_s_at	1.48E-04	1.10E-06	-5.465002	5.3859	-3.3038354	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
201514_s_at	1.48E-04	1.11E-06	5.462799	5.37824	2.1698807	G3BP1	G3BP stress granule assembly factor 1
206023_at	1.49E-04	1.11E-06	5.460838	5.37142	4.5060842	NMU	neuromedin U
209063_x_at	1.52E-04	1.15E-06	5.452193	5.34136	0.9205065	PAIP1	poly(A) binding protein interacting protein 1
211340_s_at	1.59E-04	1.21E-06	-5.438259	5.29295	-1.6183906	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule
222146_s_at	1.59E-04	1.21E-06	5.437667	5.29089	2.4393243	TCF4	transcription factor 4
201062_at	1.59E-04	1.23E-06	-5.434048	5.27832	-1.91061	STOM	stomatin
201726_at	1.59E-04	1.23E-06	5.432923	5.27442	0.8307379	ELAVL1	ELAV like RNA binding protein 1
202604_x_at	1.59E-04	1.24E-06	5.432201	5.27191	1.1722482	ADAM10	ADAM metallopeptidase domain 10
220228_at	1.60E-04	1.26E-06	-5.427836	5.25675	-2.5102787	AP4E1	adaptor related protein complex 4 epsilon 1 subunit
205246_at	1.60E-04	1.26E-06	5.427199	5.25454	1.7531082	PEX13	peroxisomal biogenesis factor 13
219918_s_at	1.69E-04	1.34E-06	5.409928	5.19461	3.2784289	ASPM	abnormal spindle microtubule assembly
203478_at	1.69E-04	1.34E-06	5.409876	5.19443	1.8181087	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1
207165_at	1.75E-04	1.40E-06	5.398199	5.15395	2.0688115	HMMR	hyaluronan mediated motility receptor
201972_at	1.76E-04	1.42E-06	5.395129	5.1433	1.1062549	ATP6V1A	ATPase H+ transporting V1 subunit A
201085_s_at	1.80E-04	1.45E-06	5.388153	5.11913	2.4488486	SON	SON DNA binding protein
218185_s_at	1.82E-04	1.48E-06	5.382907	5.10096	1.0655188	ARMC1	armadillo repeat containing 1
214582_at	1.85E-04	1.51E-06	-5.377452	5.08207	-1.1155589	PDE3B	phosphodiesterase 3B
204271_s_at	1.86E-04	1.53E-06	-5.374011	5.07016	-1.171988	EDNRB	endothelin receptor type B
220940_at	1.87E-04	1.55E-06	5.369955	5.05612	2.1709216	ANKRD36B	ankyrin repeat domain 36B
212809_at	1.87E-04	1.56E-06	5.369546	5.05471	1.1729365	NFATC2IP	nuclear factor of activated T-cells 2 interacting protein
213051_at	1.88E-04	1.57E-06	-5.367592	5.04794	-0.9441619	ZC3HAV1	"zinc finger CCCH-type containing, antiviral 1"
218157_x_at	1.89E-04	1.59E-06	-5.364243	5.03636	-1.0316435	CDC42SE1	CDC42 small effector 1
214687_x_at	1.91E-04	1.61E-06	5.360674	5.02401	1.5103004	ALDOA	"aldolase, fructose-bisphosphate A"
217725_x_at	1.92E-04	1.63E-06	5.356527	5.00967	1.0586991	SERBP1	SERPINE1 mRNA binding protein 1
207719_x_at	1.94E-04	1.65E-06	5.353179	4.99809	1.0312387	CEP170P1///CEP170	centrosomal protein 170 pseudogene 1///centrosomal protein 170
202660_at	2.12E-04	1.83E-06	5.324682	4.89963	1.4849347	ITPR2	"inositol 1,4,5-trisphosphate receptor type 2"
216377_x_at	2.12E-04	1.86E-06	-5.321052	4.8871	-0.909393	ALPPL2	"alkaline phosphatase, placental like 2"
209842_at	2.12E-04	1.87E-06	-5.319356	4.88125	-1.3638369	SOX10	SRY-box 10
213011_s_at	2.12E-04	1.87E-06	5.319284	4.881	1.3158494	TPI1	triosephosphate isomerase 1
201540_at	2.12E-04	1.88E-06	-5.317377	4.87442	-2.3002127	FHL1	four and a half LIM domains 1
221796_at	2.12E-04	1.90E-06	-5.315447	4.86776	-2.9024703	NTRK2	neurotrophic receptor tyrosine kinase 2
218087_s_at	2.12E-04	1.91E-06	-5.313814	4.86213	-3.6067118	SORBS1	sorbin and SH3 domain containing 1
210772_at	2.12E-04	1.92E-06	-5.312852	4.85881	-1.7833897	FPR2	formyl peptide receptor 2
203780_at	2.12E-04	1.92E-06	-5.311476	4.85406	-1.922393	MPZL2	myelin protein zero like 2
208934_s_at	2.12E-04	1.93E-06	5.311064	4.85264	1.567399	LGALS8	galectin 8
216823_at	2.12E-04	1.93E-06	-5.310808	4.85176	-0.8643282	SNORD73A///RPS3A	"small nucleolar RNA, C/D box 73A///ribosomal protein S3A"
217774_s_at	2.12E-04	1.94E-06	5.309435	4.84702	1.1122948	TRMT112	tRNA methyltransferase 11-2 homolog (S. cerevisiae)
218505_at	2.12E-04	1.94E-06	5.309209	4.84624	1.6497753	WDR59	WD repeat domain 59
205261_at	2.12E-04	1.94E-06	-5.308894	4.84516	-1.3822712	PGC	progastricsin
202175_at	2.16E-04	1.99E-06	5.302742	4.82394	1.0981688	CHPF	chondroitin polymerizing factor
221499_s_at	2.20E-04	2.04E-06	5.295942	4.8005	1.9230419	STX16	syntaxin 16
217800_s_at	2.22E-04	2.06E-06	5.293057	4.79056	1.1355647	NDFIP1	Nedd4 family interacting protein 1
207668_x_at	2.24E-04	2.10E-06	5.2882	4.77382	0.8901463	PDIA6	protein disulfide isomerase family A member 6
212871_at	2.27E-04	2.13E-06	5.283794	4.75865	1.6580577	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5
210499_s_at	2.31E-04	2.17E-06	-5.278186	4.73934	-1.1497691	PQBP1	polyglutamine binding protein 1
202467_s_at	2.33E-04	2.21E-06	5.273532	4.72331	1.1460957	COPS2	COP9 signalosome subunit 2
203074_at	2.38E-04	2.27E-06	5.266132	4.69785	2.5953699	ANXA8L1///ANXA8	annexin A8-like 1///annexin A8
201485_s_at	2.38E-04	2.27E-06	5.265781	4.69664	2.327495	RCN2	reticulocalbin 2
212230_at	2.40E-04	2.30E-06	-5.262522	4.68543	-1.4234463	PLPP3	phospholipid phosphatase 3
204356_at	2.52E-04	2.43E-06	-5.247898	4.63515	-1.4667884	LIMK1	LIM domain kinase 1
212058_at	2.52E-04	2.44E-06	5.246442	4.63015	0.8796615	U2SURP	U2 snRNP associated SURP domain containing
201091_s_at	2.56E-04	2.50E-06	5.240033	4.60813	1.4667531	CBX3	chromobox 3
213203_at	2.59E-04	2.54E-06	5.235654	4.59309	1.2035907	SNAPC5	small nuclear RNA activating complex polypeptide 5
219741_x_at	2.59E-04	2.54E-06	-5.235242	4.59167	-1.2304293	ZNF552	zinc finger protein 552
203063_at	2.60E-04	2.57E-06	-5.23266	4.58281	-1.7099772	PPM1F	"protein phosphatase, Mg2+/Mn2+ dependent 1F"
220244_at	2.60E-04	2.58E-06	-5.231459	4.57868	-1.1455624	LINC00312	long intergenic non-protein coding RNA 312
209501_at	2.60E-04	2.59E-06	5.229644	4.57245	1.3937195	LOC101060399///CDR2	cerebellar degeneration-related protein 2///cerebellar degeneration related protein 2
213528_at	2.66E-04	2.66E-06	-5.222347	4.54741	-0.7814334	METTL18	methyltransferase like 18
205982_x_at	2.67E-04	2.69E-06	-5.219473	4.53754	-4.5064399	SFTPC	surfactant protein C
205207_at	2.67E-04	2.69E-06	-5.219397	4.53728	-2.6353805	IL6	interleukin 6
219417_s_at	2.80E-04	2.84E-06	-5.204473	4.48611	-1.5851156	BORCS6	BLOC-1 related complex subunit 6
211735_x_at	2.85E-04	2.90E-06	-5.198588	4.46594	-4.4146989	SFTPC	surfactant protein C
208944_at	2.91E-04	2.98E-06	-5.191261	4.44084	-1.3033231	TGFBR2	transforming growth factor beta receptor 2
219932_at	2.91E-04	3.00E-06	-5.189279	4.43405	-2.3367337	SLC27A6	solute carrier family 27 member 6
201593_s_at	2.91E-04	3.01E-06	5.188748	4.43223	1.5137217	ZC3H15	zinc finger CCCH-type containing 15
205863_at	2.91E-04	3.02E-06	-5.18774	4.42878	-1.2436041	S100A12	S100 calcium binding protein A12
201918_at	2.93E-04	3.05E-06	5.184707	4.4184	1.5030008	SLC25A36	solute carrier family 25 member 36
212775_at	2.97E-04	3.11E-06	5.17961	4.40095	1.7070464	OBSL1	obscurin like 1
218538_s_at	2.99E-04	3.14E-06	5.176857	4.39153	1.0105503	MRS2	"MRS2, magnesium transporter"
